1.015666704603781454e-29,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.521331808705331357e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01
1.015666704603781454e-29,3.521331829961267257e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661777973293939281e-01,3.661777973293939281e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01
3.661778295565158992e-01,1.015666704603781454e-29,3.521331808676330111e-01,3.661778340293855294e-01,3.661778243529963950e-01,3.661778243529963950e-01,3.661778295565158992e-01,3.661778299352582144e-01,3.661778299352582144e-01,3.661778243529963950e-01,3.661778243529963950e-01,3.661778243529963950e-01,3.661778243529963950e-01,3.661778243529963950e-01,3.661778243529963950e-01
3.521331808705331357e-01,3.661778319053955455e-01,3.661778346713947530e-01,3.661778248876692565e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778339189968312e-01,3.661778243560121493e-01,3.521331808705331357e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01
1.015666704603781454e-29,3.661778526520233501e-01,3.661778243831499413e-01,3.661778282701335652e-01,3.661778283474046436e-01,3.661778215303672090e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01
3.661778294991350213e-01,3.661778340293855294e-01,3.661778335318073285e-01,3.661778297581645969e-01,3.661778313523823547e-01,3.661778243831499413e-01,3.661778294991350213e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778299352582144e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01
3.661778221941865974e-01,1.015666704603781454e-29,3.661778418793332768e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778315649386606e-01,3.661778243713520453e-01,3.661778243713520453e-01,3.661778243713520453e-01
3.661778248681455405e-01,3.661778166796479939e-01,3.661778122377768452e-01,3.661778248681455405e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661779254054160493e-01,3.661778420169093939e-01,3.661778420169093939e-01,3.661779254054160493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01,3.661778243560121493e-01
3.521331772531068882e-01,3.521331822276647094e-01,3.661778393969093992e-01,3.661778258432696331e-01,3.661778353950349008e-01,3.661778197148329861e-01,3.661778123403278684e-01,3.661778243881959605e-01,3.661778243881959605e-01,3.661778243881959605e-01,3.661778243881959605e-01,3.661778258432696331e-01,3.661778243881959605e-01,3.661778243881959605e-01,3.661778243881959605e-01
3.521331995641518997e-01,3.661778243831499413e-01,3.661778348411763861e-01,3.521331995725576203e-01,3.661778243831499413e-01,3.661778348411763861e-01,3.661778348411763861e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778317040459974e-01,3.661778221829297131e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01,3.661778243831499413e-01
